Project,Fundraise,Pre-valuation,Stage,Investors,Category,Date,Year
Inception,4,35,Seed Round,Seraphim,DeFi,1/24/2025,2025
Radius,7,70,Seed Round,Pantera Capital,DeFi,1/23/2025,2025
Swarm Network,3,30,Seed Round,Y2Z Ventures,Blockchain Service,1/23/2025,2025
Swarm Network,3,30,Seed Round,Zerostage,Blockchain Service,1/23/2025,2025
Ranger,2,19,Funding Round,Arthur Cheong,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Selini Capital,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Zee Prime Capital,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Big Brain Holdings,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,RockawayX,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Flow Traders,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Asymmetric,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Joe McCann,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Anagram Crypto,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Presto Labs,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Nom,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Rise Capital,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,MonkeVentures,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,echo,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Native Crypto,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Gum,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Thanh Le,DEX,1/23/2025,2025
Ranger,2,19,Funding Round,Defi Maestro,DEX,1/23/2025,2025
NACKL,6,60,Funding Round,Blockchain.com Ventures,Gaming,2/28/2025,2025
NACKL,6,60,Funding Round,Hack VC,Gaming,2/28/2025,2025
NACKL,6,60,Funding Round,Kingsway Capital,Gaming,2/28/2025,2025
NACKL,6,60,Funding Round,K5 Global,Gaming,2/28/2025,2025
NACKL,6,60,Funding Round,Original Capital,Gaming,2/28/2025,2025
FanTV,3,30,Strategic Round,Mysten Labs,Blockchain Service,2/28/2025,2025
FanTV,3,30,Strategic Round,CoinSwitch,Blockchain Service,2/28/2025,2025
FanTV,3,30,Strategic Round,Cypher Capital Group,Blockchain Service,2/28/2025,2025
FanTV,3,30,Strategic Round,Illuminati Capital,Blockchain Service,2/28/2025,2025
FanTV,6,55,Funding Round,Multicoin Capital,Blockchain Service,2/28/2025,2025
FanTV,6,55,Funding Round,IOSG Ventures,Blockchain Service,2/28/2025,2025
FanTV,6,55,Funding Round,Woodstock Fund,Blockchain Service,2/28/2025,2025
FanTV,6,55,Funding Round,Krafton,Blockchain Service,2/28/2025,2025
FanTV,6,55,Funding Round,Tykhe Block Ventures,Blockchain Service,2/28/2025,2025
FanTV,6,55,Funding Round,Pravega Ventures,Blockchain Service,2/28/2025,2025
BOINK,8,80,Funding Round,NFX,Gaming,2/28/2025,2025
BOINK,8,80,Funding Round,a16z speedrun,Gaming,2/28/2025,2025
Lantern Finance,1,10,Pre-seed,Orange DAO,Finance,2/28/2025,2025
Lantern Finance,1,10,Pre-seed,Andover Ventures,Finance,2/28/2025,2025
Lantern Finance,1,10,Pre-seed,Supermoon Ventures,Finance,2/28/2025,2025
Orochi Network,12,120,Seed Round,Kyros Ventures,Infrastructure,2/27/2025,2025
Orochi Network,12,120,Seed Round,Biconomy,Infrastructure,2/27/2025,2025
Orochi Network,12,120,Seed Round,Smape Capital,Infrastructure,2/27/2025,2025
Orochi Network,12,120,Seed Round,Connectico Capital,Infrastructure,2/27/2025,2025
Orochi Network,12,120,Seed Round,MaxxCapital,Infrastructure,2/27/2025,2025
Orochi Network,12,120,Seed Round,Presto Labs,Infrastructure,2/27/2025,2025
Orochi Network,12,120,Seed Round,AZA Ventures,Infrastructure,2/27/2025,2025
Orochi Network,12,120,Seed Round,Anti Capital,Infrastructure,2/27/2025,2025
Orochi Network,12,120,Seed Round,Bolts Capital,Infrastructure,2/27/2025,2025
Finisterra Labs,4,38,Seed Round,Haun Ventures,Infrastructure,2/27/2025,2025
Finisterra Labs,4,38,Seed Round,Lightshift Capital,Infrastructure,2/27/2025,2025
Figure,200,"2,000",Funding Round,Sixth Street,Finance,2/27/2025,2025
USDE,20,200,Funding Round,MEXC Global (Privcode Capital),Stablecoin,2/26/2025,2025
ENA,16,160,Strategic Round,MEXC Global (Privcode Capital),DeFi,2/26/2025,2025
Shaga,4,40,Seed Round,IOSG Ventures,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,Amber Group,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,ATOM Accelerator,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,CarlosOx,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,Aaron Gillett,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,Everyrealm,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,MH Ventures,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,HASH CIB (HASH#CIB),Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,Arca,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,echo,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,Memetic Digital,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,P.E.S.T,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,VANTA,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,3rd Street Capital,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,Ivan Zhang,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,Tomer Nuni,Gaming,2/26/2025,2025
Shaga,4,40,Seed Round,Tony,Gaming,2/26/2025,2025
Aegis,2,20,Pre-seed,Profluent Ventures,DeFi,2/26/2025,2025
Aegis,2,20,Pre-seed,Dewhales,DeFi,2/26/2025,2025
Raise,63,630,Strategic Round,Selini Capital,Blockchain Service,2/26/2025,2025
Raise,63,630,Strategic Round,Raj Gokal,Blockchain Service,2/26/2025,2025
Raise,63,630,Strategic Round,GSR Markets (GSR),Blockchain Service,2/26/2025,2025
Raise,63,630,Strategic Round,Haun Ventures,Blockchain Service,2/26/2025,2025
Raise,63,630,Strategic Round,Paper Ventures,Blockchain Service,2/26/2025,2025
Ligero,4,20,Seed Round,1kx,Infrastructure,2/26/2025,2025
Ligero,4,20,Seed Round,Digital Currency Group (DCG),Infrastructure,2/26/2025,2025
Ligero,4,20,Seed Round,Robot Ventures,Infrastructure,2/26/2025,2025
Ligero,4,20,Seed Round,Nascent,Infrastructure,2/26/2025,2025
Ligero,4,20,Seed Round,Franklin Templeton,Infrastructure,2/26/2025,2025
Ligero,4,20,Seed Round,Waikit Lau,Infrastructure,2/26/2025,2025
Ligero,4,20,Seed Round,zkValidator (ZKV),Infrastructure,2/26/2025,2025
Ligero,4,20,Seed Round,Anagram Crypto,Infrastructure,2/26/2025,2025
Ligero,4,20,Seed Round,Daniel Lubarov,Infrastructure,2/26/2025,2025
Ligero,4,20,Seed Round,Galaxy VC,Infrastructure,2/26/2025,2025
Ligero,4,20,Seed Round,Nicola Greco,Infrastructure,2/26/2025,2025
Ligero,4,20,Seed Round,Saul Rejwan,Infrastructure,2/26/2025,2025
Ligero,4,20,Seed Round,Yoni Ben-Shimon,Infrastructure,2/26/2025,2025
Endless,1,10,Strategic Round,Foresight Ventures,Infrastructure,2/26/2025,2025
GEOD,8,80,Strategic Round,Multicoin Capital,Polygon Ecosystem,2/25/2025,2025
GEOD,8,80,Strategic Round,ParaFi Capital,Polygon Ecosystem,2/25/2025,2025
GEOD,8,80,Strategic Round,Digital Asset Capital Management (DACM),Polygon Ecosystem,2/25/2025,2025
Breez,5,50,Funding Round,Ego Death Capital,Blockchain Service,1/22/2025,2025
Breez,5,50,Funding Round,Timechain,Blockchain Service,1/22/2025,2025
Breez,5,50,Funding Round,Entree Capital,Blockchain Service,1/22/2025,2025
Breez,5,50,Funding Round,Plan B Bitcoin Fund,Blockchain Service,1/22/2025,2025
BGSC,9,85,Funding Round,NA,NA,1/22/2025,2025
Keplr,5,50,Seed Round,1confirmation,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,Coinbase Ventures,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,HashKey Capital,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,Chorus One,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,Interchain Foundation,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,Sunny Aggarwal,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,Zaki Manian,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,Nicolas Bacca,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,Thomas France,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,Reverie,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,Anagram Crypto,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,Binary Builders,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,Nicolas Pinto,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,Adrian Brink,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,David Balland,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,s3unha,Wallet,1/22/2025,2025
Keplr,5,50,Seed Round,magmar,Wallet,1/22/2025,2025
ByteNova,12,120,Series A,Metaverse Group,Artificial Intelligence,1/22/2025,2025
ByteNova,12,120,Series A,MetaBlast,Artificial Intelligence,1/22/2025,2025
ByteNova,12,120,Series A,Forum Ventures,Artificial Intelligence,1/22/2025,2025
GRVT,5,50,Strategic Round,Further,DeFi,1/21/2025,2025
Wingbits,6,56,Strategic Round,The Spartan Group,Blockchain Service,1/21/2025,2025
Wingbits,6,56,Strategic Round,Tribe Capital,Blockchain Service,1/21/2025,2025
Wingbits,6,56,Strategic Round,SNZ Holding,Blockchain Service,1/21/2025,2025
Wingbits,6,56,Strategic Round,Borderless Capital,Blockchain Service,1/21/2025,2025
Wingbits,6,56,Strategic Round,Antler,Blockchain Service,1/21/2025,2025
Wingbits,6,56,Strategic Round,Heartcore Capital,Blockchain Service,1/21/2025,2025
Wingbits,6,56,Strategic Round,Bullish,Blockchain Service,1/21/2025,2025
SONEX,1,10,Seed Round,Gate Ventures,DEX,1/21/2025,2025
SONEX,1,10,Seed Round,Flow Traders,DEX,1/21/2025,2025
SONEX,1,10,Seed Round,Nonagon,DEX,1/21/2025,2025
SONEX,1,10,Seed Round,Taisu Ventures,DEX,1/21/2025,2025
SONEX,1,10,Seed Round,Baboon VC,DEX,1/21/2025,2025
SONEX,1,10,Seed Round,Outliers Fund,DEX,1/21/2025,2025
SONEX,1,10,Seed Round,Lootex,DEX,1/21/2025,2025
NXT,8,82,Funding Round,Rollman Management,Infrastructure,1/20/2025,2025
Hamilton,2,17,Pre-seed,CMS Holdings,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Wale Ayeni,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Nathan McCauley,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Spencer Noon,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Hyperithm,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,DeSpread,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Bitcoin Startup Lab,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,domo,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,FarmerJoe,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Sypher Capital,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,DisrupTech,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Core Ventures,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Gary Sheynkman,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Sharif El-Badawi,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Arnaud Ventura Perso,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Dave Wang,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,klarman.eth,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Matty,DeFi,1/20/2025,2025
Hamilton,2,17,Pre-seed,Tycho Onnasch,DeFi,1/20/2025,2025
Grix,1,11,Seed Round,Collider Ventures,DEX,1/19/2025,2025
Grix,1,11,Seed Round,Tal Cohen,DEX,1/19/2025,2025
Grix,1,11,Seed Round,Chen Magen,DEX,1/19/2025,2025
Grix,1,11,Seed Round,Guil Lambert,DEX,1/19/2025,2025
DEFAI,1,12,Funding Round,NA,DeFiAI,1/17/2025,2025
Reppo,2,22,Funding Round,CMS Holdings,Infrastructure,1/17/2025,2025
Reppo,2,22,Funding Round,CV VC,Infrastructure,1/17/2025,2025
Reppo,2,22,Funding Round,Protocol Labs,Infrastructure,1/17/2025,2025
Reppo,2,22,Funding Round,Thomas France,Infrastructure,1/17/2025,2025
Reppo,2,22,Funding Round,Nicolas Pinto,Infrastructure,1/17/2025,2025
Reppo,2,22,Funding Round,Dieter Fishbein,Infrastructure,1/17/2025,2025
Reppo,2,22,Funding Round,Lincoln Gomes,Infrastructure,1/17/2025,2025
Oshi,13,125,Funding Round,Polychain Capital,Social,1/17/2025,2025
Oshi,13,125,Funding Round,Sfermion,Social,1/17/2025,2025
Oshi,13,125,Funding Round,CMT Digital,Social,1/17/2025,2025
Oshi,13,125,Funding Round,The Spartan Group,Social,1/17/2025,2025
Oshi,13,125,Funding Round,Folius Ventures,Social,1/17/2025,2025
Oshi,13,125,Funding Round,Superscrypt,Social,1/17/2025,2025
Oshi,13,125,Funding Round,Nomad Capital,Social,1/17/2025,2025
Oshi,13,125,Funding Round,LIF,Social,1/17/2025,2025
MA,1,12,Strategic Round,x21 Digital,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Maven Capital,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Gains Associates,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,SMO Capital,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Zephyrus Capital,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Decubate,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Kef Ventures,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Unreal Capital,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Danxia Capital,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Dewhales,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Castrum Capital,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Coinvestor Ventures,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Coinvestor,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Unicorn Ventures,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Metazero Capital,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Lunar Labs Capital,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,aixCB,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,AlfaCatalyst,Blockchain Service,1/16/2025,2025
MA,1,12,Strategic Round,Carbon Browser,Blockchain Service,1/16/2025,2025
Hyve DA,3,28,Pre-seed,Framework Ventures,Blockchain Service,1/16/2025,2025
Hyve DA,3,28,Pre-seed,Volt Capital,Blockchain Service,1/16/2025,2025
Hyve DA,3,28,Pre-seed,32-Bit Ventures,Blockchain Service,1/16/2025,2025
Hyve DA,3,28,Pre-seed,Builder Capital,Blockchain Service,1/16/2025,2025
Merit Systems,10,100,Seed Round,Andreessen Horowitz (a16z),Infrastructure,1/16/2025,2025
Merit Systems,10,100,Seed Round,Blockchain Capital,Infrastructure,1/16/2025,2025
Merit Systems,10,100,Seed Round,Dan Romero,Infrastructure,1/16/2025,2025
Merit Systems,10,100,Seed Round,Packy McCormick,Infrastructure,1/16/2025,2025
Merit Systems,10,100,Seed Round,Anatoly Yakovenko,Infrastructure,1/16/2025,2025
Merit Systems,10,100,Seed Round,Vance Spencer,Infrastructure,1/16/2025,2025
1Money,20,200,Seed Round,CMT Digital,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,gumi Cryptos Capital,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Tribe Capital,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Galaxy,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Hack VC,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Bankless,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Kraken Ventures,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Borderless Capital,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,KuCoin,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Ethereal Ventures,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Bing Ventures,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Ambush Capital,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Bitgo,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,MoonPay,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Lvna Capital,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Protagonist,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Anagram Crypto,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,GenerativeVentures,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Portage Ventures,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,F-Prime Capital,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,A100X,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Karman Ventures,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Pharsalus Capital,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,Variv,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,HEXA Global Ventures,Blockchain,1/16/2025,2025
1Money,20,200,Seed Round,CoinFlip,Blockchain,1/16/2025,2025
GTE,10,100,Funding Round,Wintermute,DEX,1/16/2025,2025
GTE,10,100,Funding Round,Robot Ventures,DEX,1/16/2025,2025
GTE,10,100,Funding Round,Maven 11 Capital,DEX,1/16/2025,2025
GTE,10,100,Funding Round,Flow Traders,DEX,1/16/2025,2025
GTE,10,100,Funding Round,IMC Financial Markets,DEX,1/16/2025,2025
GTE,10,100,Funding Round,Guy Young,DEX,1/16/2025,2025
GTE,10,100,Funding Round,Max Resnick,DEX,1/16/2025,2025
EarnOS,5,50,Seed Round,Animoca Brands,Advertising,1/16/2025,2025
EarnOS,5,50,Seed Round,Vessel Capital,Advertising,1/16/2025,2025
EarnOS,5,50,Seed Round,Mysten Labs,Advertising,1/16/2025,2025
EarnOS,5,50,Seed Round,Laser Digital,Advertising,1/16/2025,2025
EarnOS,5,50,Seed Round,GD1 Crypto,Advertising,1/16/2025,2025
EarnOS,5,50,Seed Round,Escape Velocity,Advertising,1/16/2025,2025
EarnOS,5,50,Seed Round,Mentat Group,Advertising,1/16/2025,2025
EarnOS,5,50,Seed Round,XION,Advertising,1/16/2025,2025
EarnOS,5,50,Seed Round,Opacity Network,Advertising,1/16/2025,2025
tapestry,6,58,Series A,Union Square Ventures,Social,1/16/2025,2025
tapestry,6,58,Series A,Fabric Ventures,Social,1/16/2025,2025
tapestry,6,58,Series A,Slow Ventures,Social,1/16/2025,2025
tapestry,6,58,Series A,Foresight Ventures,Social,1/16/2025,2025
tapestry,6,58,Series A,Redpoint Ventures,Social,1/16/2025,2025
tapestry,6,58,Series A,Re7 Capital,Social,1/16/2025,2025
tapestry,6,58,Series A,Aptos,Social,1/16/2025,2025
tapestry,6,58,Series A,Social Graph Ventures,Social,1/16/2025,2025
tapestry,6,58,Series A,Harlem Capital,Social,1/16/2025,2025
tapestry,6,58,Series A,Stellation Capital,Social,1/16/2025,2025
BKN,3,23,Seed Round,SNZ Holding,Blockchain Service,1/15/2025,2025
BKN,3,23,Seed Round,Psalion VC,Blockchain Service,1/15/2025,2025
BKN,3,23,Seed Round,Ergodic Capital,Blockchain Service,1/15/2025,2025
BKN,3,23,Seed Round,HODL Ventures,Blockchain Service,1/15/2025,2025
BKN,3,23,Seed Round,MochaX,Blockchain Service,1/15/2025,2025
BKN,3,23,Seed Round,Blue Bay Ventures,Blockchain Service,1/15/2025,2025
EXA,2,20,Funding Round,Uphold,DeFi,1/14/2025,2025
Sygnum,58,"1,000",Strategic Round,Fulgur Ventures,Finance,1/14/2025,2025
Dfns,16,160,Series A,Hashed,Blockchain Service,1/14/2025,2025
Dfns,16,160,Series A,Wintermute,Blockchain Service,1/14/2025,2025
Dfns,16,160,Series A,Semantic Ventures,Blockchain Service,1/14/2025,2025
Dfns,16,160,Series A,Techstars,Blockchain Service,1/14/2025,2025
Dfns,16,160,Series A,White Star Capital,Blockchain Service,1/14/2025,2025
Dfns,16,160,Series A,Motive Partners,Blockchain Service,1/14/2025,2025
Dfns,16,160,Series A,Bpifrance,Blockchain Service,1/14/2025,2025
Dfns,16,160,Series A,Motier Ventures,Blockchain Service,1/14/2025,2025
Dfns,16,160,Series A,Further,Blockchain Service,1/14/2025,2025
BeraTone,2,20,Seed Round,Animoca Brands,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,SNZ Holding,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,Santiago Roel Santos,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,Metaverse HQ,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,Yat Siu,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,The Crypto Dog,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,Build A Bera Workshop,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,AVID3,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,CBB0FE,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,The Rollup Ventures,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,CitizenX,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,Beartic,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,Digits Capital,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,Tong,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,janitooor.eth,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,Mori,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,Raito,Gaming,1/14/2025,2025
BeraTone,2,20,Seed Round,wassielawyer,Gaming,1/14/2025,2025
DePIN DAO,2,20,Strategic Round,JuCoin,Infrastructure,1/14/2025,2025
Ooga Booga,2,15,Strategic Round,ViaBTC Capital,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,NxGen,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,Smape Capital,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,Quantstamp,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,Atka Capital,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,Primal Capital,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,Rubik Ventures,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,Aquanow,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,coinflipcanada,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,Rushi Manche,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,TempleDAO,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,Nayt Technologies,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,Chad Liu,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,Qin En Looi,DeFi,1/10/2025,2025
Ooga Booga,2,15,Strategic Round,Jan Baeriswyl,DeFi,1/10/2025,2025
Oh,5,45,Seed Round,Kosmos Ventures,Blockchain Service,1/10/2025,2025
Oh,5,45,Seed Round,Big Brain Holdings,Blockchain Service,1/10/2025,2025
Oh,5,45,Seed Round,Tagus Capital,Blockchain Service,1/10/2025,2025
Oh,5,45,Seed Round,Bodhi Ventures,Blockchain Service,1/10/2025,2025
Oh,5,45,Seed Round,tangent,Blockchain Service,1/10/2025,2025
VOOX,50,500,Funding Round,Pinnacle Venture Capital,CEX,1/10/2025,2025
TMAI,9,85,Funding Round,NA,Artificial Intelligence,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,Mirana Ventures,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,Credibly Neutral,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,Mike Neuder,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,Rob Hadick,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,Marat Kichikov,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,Ribbit Capital,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,Nathan McCauley,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,Castle Island Ventures,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,Geometry DAO,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,Hasu,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,cyber Fund,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,DBA,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,John Adler,Infrastructure,1/9/2025,2025
Alpen Labs,9,85,Strategic Round,Uma Roy,Infrastructure,1/9/2025,2025
Starpower,3,25,Funding Round,Framework Ventures,Blockchain Service,1/9/2025,2025
Starpower,3,25,Funding Round,BitScale Capital,Blockchain Service,1/9/2025,2025
Starpower,3,25,Funding Round,Solana Ventures,Blockchain Service,1/9/2025,2025
Novastro Chain,1,12,Seed Round,Woodstock Fund,Layer-2,1/9/2025,2025
Novastro Chain,1,12,Seed Round,x21 Digital,Layer-2,1/9/2025,2025
Novastro Chain,1,12,Seed Round,Double Peak,Layer-2,1/9/2025,2025
Novastro Chain,1,12,Seed Round,Sam Thapaliya,Layer-2,1/9/2025,2025
Novastro Chain,1,12,Seed Round,Founderheads,Layer-2,1/9/2025,2025
Novastro Chain,1,12,Seed Round,CSP DAO,Layer-2,1/9/2025,2025
Novastro Chain,1,12,Seed Round,Cogitent Ventures,Layer-2,1/9/2025,2025
Novastro Chain,1,12,Seed Round,Faculty Group,Layer-2,1/9/2025,2025
Rena Labs,3,33,Pre-seed,Selini Capital,Infrastructure,1/9/2025,2025
Rena Labs,3,33,Pre-seed,Eterna Capital,Infrastructure,1/9/2025,2025
Rena Labs,3,33,Pre-seed,Mapleblock Capital,Infrastructure,1/9/2025,2025
Rena Labs,3,33,Pre-seed,Paper Ventures,Infrastructure,1/9/2025,2025
Rena Labs,3,33,Pre-seed,Rushi Manche,Infrastructure,1/9/2025,2025
Rena Labs,3,33,Pre-seed,Cooper Scanlon,Infrastructure,1/9/2025,2025
Rena Labs,3,33,Pre-seed,Keyrock,Infrastructure,1/9/2025,2025
Rena Labs,3,33,Pre-seed,Lyrik Ventures,Infrastructure,1/9/2025,2025
Rena Labs,3,33,Pre-seed,Faction,Infrastructure,1/9/2025,2025
Rena Labs,3,33,Pre-seed,Zac Williamson,Infrastructure,1/9/2025,2025
Rena Labs,3,33,Pre-seed,James Hu,Infrastructure,1/9/2025,2025
Rena Labs,3,33,Pre-seed,Melody Taira,Infrastructure,1/9/2025,2025
Rena Labs,3,33,Pre-seed,Vyas Krishnan,Infrastructure,1/9/2025,2025
